customer_id,order_count,revenue,avg_order_value,customer_type,segment
C0001,3,44098.979999999996,14699.659999999998,Repeat,Loyal
C0002,1,3788.58,3788.58,One-time,One-time
C0003,2,19190.27,9595.135,Repeat,Regular
C0004,3,29954.43,9984.81,Repeat,Loyal
C0005,2,20463.12,10231.56,Repeat,Regular
C0006,2,18189.09,9094.545,Repeat,Regular
C0007,3,16462.66,5487.553333333333,Repeat,Loyal
C0008,1,10429.75,10429.75,One-time,One-time
C0009,1,6733.42,6733.42,One-time,One-time
C0010,3,34950.22,11650.073333333334,Repeat,Loyal
C0011,5,25723.3,5144.66,Repeat,Champions
C0012,2,30390.36,15195.18,Repeat,Regular
C0015,1,13376.08,13376.08,One-time,One-time
C0016,5,74963.03,14992.606,Repeat,Champions
C0017,4,78965.04,19741.26,Repeat,Loyal
C0018,5,60358.64,12071.728,Repeat,Champions
C0019,1,14237.49,14237.49,One-time,One-time
C0020,2,29688.239999999998,14844.119999999999,Repeat,Regular
C0021,4,62176.04,15544.01,Repeat,Loyal
C0022,2,13447.380000000001,6723.6900000000005,Repeat,Regular
C0023,2,17355.739999999998,8677.869999999999,Repeat,Regular
C0024,2,34132.64,17066.32,Repeat,Regular
C0025,3,29036.949999999997,9678.983333333332,Repeat,Loyal
C0027,3,39382.87,13127.623333333335,Repeat,Loyal
C0028,5,45481.770000000004,9096.354000000001,Repeat,Champions
C0029,1,12418.15,12418.15,One-time,One-time
C0030,3,54509.270000000004,18169.756666666668,Repeat,Loyal
C0031,2,8724.32,4362.16,Repeat,Regular
C0033,1,8215.5,8215.5,One-time,One-time
C0034,1,3763.32,3763.32,One-time,One-time
C0035,3,31322.38,10440.793333333333,Repeat,Loyal
C0036,2,28864.81,14432.405,Repeat,Regular
C0037,2,14072.07,7036.035,Repeat,Regular
C0038,1,23561.08,23561.08,One-time,One-time
C0039,4,83271.18,20817.795,Repeat,Loyal
C0040,3,38536.09,12845.363333333333,Repeat,Loyal
C0041,2,23715.65,11857.825,Repeat,Regular
C0042,3,40961.6,13653.866666666667,Repeat,Loyal
C0043,3,46631.54,15543.846666666666,Repeat,Loyal
C0044,1,11370.12,11370.12,One-time,One-time
C0045,3,41177.520000000004,13725.840000000002,Repeat,Loyal
C0046,2,20319.23,10159.615,Repeat,Regular
C0047,4,54336.95,13584.2375,Repeat,Loyal
C0048,4,47960.16,11990.04,Repeat,Loyal
C0049,3,21166.52,7055.506666666667,Repeat,Loyal
C0050,3,33400.65,11133.550000000001,Repeat,Loyal
C0051,3,31789.3,10596.433333333332,Repeat,Loyal
C0052,3,49068.17,16356.056666666665,Repeat,Loyal
C0053,3,23980.71,7993.57,Repeat,Loyal
C0054,1,13606.64,13606.64,One-time,One-time
C0055,1,7728.69,7728.69,One-time,One-time
C0056,1,21924.68,21924.68,One-time,One-time
C0057,4,56062.22,14015.555,Repeat,Loyal
C0058,3,44750.38,14916.793333333333,Repeat,Loyal
C0060,5,87579.73000000001,17515.946000000004,Repeat,Champions
C0061,4,32574.85,8143.7125,Repeat,Loyal
C0062,3,40304.61,13434.87,Repeat,Loyal
C0063,3,54752.47,18250.823333333334,Repeat,Loyal
C0064,2,27820.260000000002,13910.130000000001,Repeat,Regular
C0065,3,60998.42,20332.806666666667,Repeat,Loyal
