customer_id,customer_name,signup_date,city,state
C0001,Customer 0001,2023-10-09,Pune,Delhi
C0002,Customer 0002,2024-11-19,Delhi,West Bengal
C0003,Customer 0003,2023-01-12,Pune,Maharashtra
C0004,Customer 0004,2023-12-23,Bengaluru,Gujarat
C0005,Customer 0005,2025-09-13,Jaipur,West Bengal
C0006,Customer 0006,2024-01-04,Delhi,Delhi
C0007,Customer 0007,2024-08-21,Hyderabad,Telangana
C0008,Customer 0008,2025-09-15,Delhi,Rajasthan
C0009,Customer 0009,2024-08-30,Delhi,Telangana
C0010,Customer 0010,2025-01-24,Jaipur,Karnataka
C0011,Customer 0011,2025-08-16,Jaipur,Rajasthan
C0012,Customer 0012,2024-09-09,Bengaluru,Telangana
C0013,Customer 0013,2025-04-12,Bengaluru,West Bengal
C0014,Customer 0014,2024-05-23,Pune,Rajasthan
C0015,Customer 0015,2025-03-25,Pune,West Bengal
C0016,Customer 0016,2024-10-03,Pune,Gujarat
C0017,Customer 0017,2023-12-06,Kolkata,Karnataka
C0018,Customer 0018,2024-07-12,Delhi,West Bengal
C0019,Customer 0019,2023-12-01,Hyderabad,Maharashtra
C0020,Customer 0020,2024-02-02,Jaipur,Gujarat
C0021,Customer 0021,2023-10-19,Ahmedabad,Telangana
C0022,Customer 0022,2024-05-06,Mumbai,Telangana
C0023,Customer 0023,2023-12-13,Mumbai,Gujarat
C0024,Customer 0024,2024-09-18,Delhi,West Bengal
C0025,Customer 0025,2024-01-05,Pune,Gujarat
C0026,Customer 0026,2024-05-06,Bengaluru,Telangana
C0027,Customer 0027,2023-05-21,Kolkata,West Bengal
C0028,Customer 0028,2024-01-22,Delhi,Karnataka
C0029,Customer 0029,2023-12-22,Bengaluru,Telangana
C0030,Customer 0030,2025-08-19,Kolkata,Delhi
C0031,Customer 0031,2024-03-22,Ahmedabad,Maharashtra
C0032,Customer 0032,2023-01-22,Ahmedabad,West Bengal
C0033,Customer 0033,2023-11-06,Pune,Karnataka
C0034,Customer 0034,2024-12-30,Ahmedabad,Karnataka
C0035,Customer 0035,2023-06-15,Delhi,Gujarat
C0036,Customer 0036,2023-06-12,Ahmedabad,Maharashtra
C0037,Customer 0037,2024-01-09,Pune,Delhi
