order_item_id,order_id,product_id,quantity,discount,line_revenue
OI00001-1,O00001,P064,1,0.2,1560.48
OI00001-2,O00001,P028,2,0.0,7730.96
OI00001-3,O00001,P032,1,0.15,4120.9
OI00001-4,O00001,P070,3,0.0,6567.69
OI00002-1,O00002,P026,3,0.0,12794.55
OI00002-2,O00002,P031,1,0.2,316.62
OI00002-3,O00002,P030,3,0.0,12157.68
OI00003-1,O00003,P062,2,0.15,3355.51
OI00003-2,O00003,P058,2,0.2,5991.09
OI00004-1,O00004,P077,1,0.2,3861.41
OI00004-2,O00004,P027,3,0.0,12519.81
OI00005-1,O00005,P041,2,0.15,4555.03
OI00005-2,O00005,P026,3,0.1,11515.1
OI00005-3,O00005,P011,1,0.2,3562.0
OI00005-4,O00005,P060,3,0.2,9748.78
OI00006-1,O00006,P030,3,0.0,12157.68
OI00007-1,O00007,P063,2,0.15,2406.47
OI00008-1,O00008,P024,2,0.0,7262.68
OI00008-2,O00008,P045,2,0.05,9179.79
OI00009-1,O00009,P046,3,0.1,3680.02
OI00009-2,O00009,P075,3,0.0,6811.86
OI00009-3,O00009,P033,2,0.0,7522.7
OI00009-4,O00009,P058,3,0.2,8986.63
OI00010-1,O00010,P042,2,0.0,1706.9
OI00011-1,O00011,P039,1,0.0,1583.88
OI00011-2,O00011,P010,1,0.1,2559.86
OI00011-3,O00011,P055,1,0.0,2386.43
OI00011-4,O00011,P058,3,0.05,10671.63
OI00012-1,O00012,P057,3,0.05,13763.7
OI00012-2,O00012,P013,2,0.0,6235.38
OI00012-3,O00012,P015,1,0.15,1066.27
OI00013-1,O00013,P060,1,0.15,3452.69
OI00014-1,O00014,P039,1,0.0,1583.88
OI00014-2,O00014,P007,1,0.1,749.56
OI00014-3,O00014,P034,3,0.1,11000.88
OI00015-1,O00015,P075,3,0.15,5790.08
OI00015-2,O00015,P031,1,0.0,395.78
OI00015-3,O00015,P037,1,0.2,2330.98
OI00016-1,O00016,P008,1,0.15,4021.57
OI00016-2,O00016,P027,1,0.0,4173.27
OI00017-1,O00017,P017,3,0.2,4369.49
OI00017-2,O00017,P030,2,0.15,6889.35
OI00017-3,O00017,P064,1,0.0,1950.6
OI00018-1,O00018,P049,1,0.05,2439.95
OI00018-2,O00018,P072,3,0.2,3714.86
OI00018-3,O00018,P069,3,0.2,11259.26
OI00019-1,O00019,P059,2,0.15,2666.96
OI00019-2,O00019,P069,3,0.0,14074.08
OI00019-3,O00019,P043,3,0.2,8382.77
OI00019-4,O00019,P025,2,0.0,5782.82
OI00020-1,O00020,P024,3,0.1,9804.62
OI00021-1,O00021,P004,2,0.1,1978.47
OI00021-2,O00021,P020,1,0.1,1136.57
OI00022-1,O00022,P029,2,0.0,5611.18
OI00022-2,O00022,P033,2,0.0,7522.7
OI00022-3,O00022,P036,2,0.0,8884.7
OI00022-4,O00022,P037,2,0.0,5827.44
OI00023-1,O00023,P018,1,0.2,739.14
OI00024-1,O00024,P040,1,0.05,2792.84
OI00024-2,O00024,P078,1,0.05,4164.8
OI00024-3,O00024,P015,1,0.0,1254.44
OI00024-4,O00024,P046,2,0.2,2180.75
OI00025-1,O00025,P055,2,0.15,4056.93
OI00025-2,O00025,P014,3,0.15,6028.74
OI00026-1,O00026,P005,1,0.05,4581.17
OI00026-2,O00026,P079,3,0.2,4246.49
OI00026-3,O00026,P064,2,0.05,3706.14
OI00026-4,O00026,P058,2,0.15,6365.53
OI00027-1,O00027,P045,1,0.15,4106.75
OI00027-2,O00027,P048,2,0.0,8331.44
OI00027-3,O00027,P023,1,0.05,4275.03
OI00027-4,O00027,P074,1,0.0,4511.83
OI00028-1,O00028,P028,3,0.0,11596.44
OI00028-2,O00028,P014,1,0.0,2364.21
OI00029-1,O00029,P008,3,0.0,14193.78
OI00029-2,O00029,P048,2,0.2,6665.15
OI00029-3,O00029,P038,2,0.0,6831.1
OI00030-1,O00030,P031,3,0.2,949.87
OI00031-1,O00031,P080,3,0.0,5136.27
OI00031-2,O00031,P015,2,0.2,2007.1
OI00031-3,O00031,P038,1,0.2,2732.44
OI00031-4,O00031,P008,2,0.1,8516.27
OI00032-1,O00032,P022,3,0.0,4339.8
OI00033-1,O00033,P003,1,0.15,4198.72
OI00033-2,O00033,P052,1,0.2,2197.0
OI00033-3,O00033,P057,2,0.0,9658.74
OI00033-4,O00033,P029,2,0.0,5611.18
OI00034-1,O00034,P045,2,0.0,9662.94
OI00034-2,O00034,P049,1,0.15,2183.11
OI00035-1,O00035,P047,3,0.0,10907.1
OI00035-2,O00035,P029,1,0.05,2665.31
OI00035-3,O00035,P028,1,0.0,3865.48
OI00036-1,O00036,P003,1,0.05,4692.69
OI00037-1,O00037,P039,1,0.0,1583.88
OI00037-2,O00037,P057,2,0.2,7726.99
OI00037-3,O00037,P060,1,0.15,3452.69
OI00038-1,O00038,P070,1,0.15,1860.85
OI00038-2,O00038,P056,3,0.15,10883.78
OI00038-3,O00038,P018,1,0.05,877.72
OI00039-1,O00039,P048,1,0.0,4165.72
OI00040-1,O00040,P018,2,0.2,1478.27
OI00040-2,O00040,P045,2,0.1,8696.65
OI00040-3,O00040,P059,3,0.2,3765.12
OI00041-1,O00041,P073,2,0.0,2527.72
OI00041-2,O00041,P025,2,0.05,5493.68
OI00042-1,O00042,P031,3,0.0,1187.34
OI00043-1,O00043,P024,1,0.0,3631.34
OI00043-2,O00043,P040,1,0.2,2351.86
OI00043-3,O00043,P070,2,0.0,4378.46
OI00044-1,O00044,P050,1,0.2,1609.8
OI00044-2,O00044,P044,1,0.0,4685.14
OI00044-3,O00044,P039,2,0.0,3167.76
OI00044-4,O00044,P047,1,0.0,3635.7
OI00045-1,O00045,P056,2,0.2,6829.04
OI00045-2,O00045,P026,2,0.1,7676.73
OI00046-1,O00046,P048,3,0.05,11872.3
OI00047-1,O00047,P071,2,0.2,4747.86
OI00047-2,O00047,P026,3,0.1,11515.1
OI00047-3,O00047,P015,2,0.2,2007.1
OI00047-4,O00047,P041,2,0.0,5358.86
OI00048-1,O00048,P010,2,0.1,5119.72
OI00048-2,O00048,P041,2,0.2,4287.09
OI00048-3,O00048,P061,1,0.05,4231.42
OI00049-1,O00049,P022,1,0.0,1446.6
OI00049-2,O00049,P030,3,0.15,10334.03
OI00050-1,O00050,P080,2,0.0,3424.18
OI00050-2,O00050,P018,3,0.0,2771.76
OI00050-3,O00050,P067,1,0.1,3372.15
OI00051-1,O00051,P073,2,0.15,2148.56
OI00052-1,O00052,P009,1,0.15,2628.95
OI00052-2,O00052,P003,1,0.2,3951.74
OI00053-1,O00053,P021,1,0.05,727.03
OI00054-1,O00054,P046,3,0.05,3884.46
OI00055-1,O00055,P007,2,0.15,1415.83
OI00055-2,O00055,P018,1,0.0,923.92
OI00055-3,O00055,P070,3,0.2,5254.15
OI00056-1,O00056,P005,1,0.0,4822.28
OI00057-1,O00057,P074,1,0.05,4286.24
OI00057-2,O00057,P063,2,0.05,2689.58
OI00058-1,O00058,P021,1,0.15,650.5
OI00058-2,O00058,P057,3,0.15,12314.89
OI00059-1,O00059,P028,2,0.15,6571.32
OI00059-2,O00059,P037,3,0.15,7429.99
OI00060-1,O00060,P014,3,0.0,7092.63
OI00060-2,O00060,P049,3,0.05,7319.85
OI00060-3,O00060,P065,1,0.05,4165.27
OI00060-4,O00060,P013,3,0.2,7482.46
OI00061-1,O00061,P015,1,0.2,1003.55
OI00061-2,O00061,P078,2,0.2,7014.4
OI00062-1,O00062,P079,2,0.0,3538.74
OI00062-2,O00062,P032,1,0.0,4848.12
OI00063-1,O00063,P024,2,0.0,7262.68
OI00064-1,O00064,P018,2,0.15,1570.66
OI00064-2,O00064,P048,3,0.05,11872.3
OI00064-3,O00064,P025,3,0.2,6939.38
OI00065-1,O00065,P070,1,0.15,1860.85
OI00065-2,O00065,P065,1,0.05,4165.27
OI00065-3,O00065,P079,3,0.0,5308.11
OI00065-4,O00065,P080,3,0.2,4109.02
OI00066-1,O00066,P046,1,0.0,1362.97
OI00066-2,O00066,P067,1,0.05,3559.49
OI00066-3,O00066,P016,3,0.0,8923.65
OI00067-1,O00067,P001,2,0.05,9020.9
OI00067-2,O00067,P021,1,0.0,765.29
OI00068-1,O00068,P041,1,0.1,2411.49
OI00069-1,O00069,P079,1,0.05,1680.9
OI00069-2,O00069,P011,3,0.2,10686.0
OI00070-1,O00070,P010,3,0.1,7679.58
OI00070-2,O00070,P068,3,0.15,3644.41
OI00071-1,O00071,P066,1,0.15,1463.71
OI00071-2,O00071,P080,1,0.1,1540.88
OI00072-1,O00072,P019,2,0.15,1476.98
OI00073-1,O00073,P058,3,0.0,11233.29
OI00073-2,O00073,P026,3,0.2,10235.64
OI00073-3,O00073,P015,2,0.15,2132.55
OI00074-1,O00074,P025,2,0.15,4915.4
OI00074-2,O00074,P013,2,0.15,5300.07
OI00075-1,O00075,P008,1,0.15,4021.57
OI00075-2,O00075,P040,1,0.2,2351.86
OI00076-1,O00076,P052,2,0.05,5217.88
OI00076-2,O00076,P033,2,0.05,7146.56
OI00076-3,O00076,P051,1,0.2,1169.78
OI00077-1,O00077,P017,3,0.2,4369.49
OI00078-1,O00078,P006,1,0.15,2357.27
OI00078-2,O00078,P060,1,0.15,3452.69
OI00078-3,O00078,P005,1,0.2,3857.82
OI00078-4,O00078,P037,1,0.05,2768.03
OI00079-1,O00079,P076,3,0.0,6163.77
OI00079-2,O00079,P079,2,0.05,3361.8
OI00080-1,O00080,P059,2,0.15,2666.96
OI00080-2,O00080,P003,2,0.15,8397.44
OI00080-3,O00080,P057,3,0.0,14488.11
OI00080-4,O00080,P066,1,0.0,1722.01
OI00081-1,O00081,P009,1,0.15,2628.95
OI00081-2,O00081,P071,1,0.0,2967.41
OI00081-3,O00081,P015,3,0.2,3010.66
OI00082-1,O00082,P071,2,0.05,5638.08
OI00082-2,O00082,P019,3,0.1,2345.79
OI00082-3,O00082,P039,2,0.05,3009.37
OI00083-1,O00083,P048,1,0.2,3332.58
OI00083-2,O00083,P051,3,0.1,3948.02
OI00083-3,O00083,P044,1,0.1,4216.63
OI00084-1,O00084,P002,3,0.2,6144.05
OI00085-1,O00085,P047,1,0.0,3635.7
OI00085-2,O00085,P061,1,0.15,3786.01
OI00085-3,O00085,P015,3,0.0,3763.32
OI00085-4,O00085,P018,1,0.0,923.92
OI00086-1,O00086,P040,3,0.1,7937.54
OI00086-2,O00086,P047,3,0.2,8725.68
OI00086-3,O00086,P043,3,0.1,9430.61
OI00087-1,O00087,P079,2,0.15,3007.93
OI00087-2,O00087,P050,3,0.15,5131.24
OI00087-3,O00087,P030,2,0.1,7294.61
OI00088-1,O00088,P009,1,0.0,3092.88
OI00088-2,O00088,P046,3,0.05,3884.46
OI00089-1,O00089,P033,2,0.15,6394.3
OI00089-2,O00089,P072,1,0.0,1547.86
OI00089-3,O00089,P021,3,0.0,2295.87
OI00090-1,O00090,P006,2,0.0,5546.52
OI00090-2,O00090,P067,2,0.05,7118.98
OI00090-3,O00090,P063,1,0.05,1344.79
OI00090-4,O00090,P058,1,0.15,3182.77
OI00091-1,O00091,P012,2,0.15,3603.01
OI00092-1,O00092,P040,1,0.0,2939.83
OI00092-2,O00092,P041,3,0.1,7234.46
OI00092-3,O00092,P024,3,0.15,9259.92
OI00093-1,O00093,P007,2,0.1,1499.11
OI00094-1,O00094,P029,1,0.2,2244.47
OI00094-2,O00094,P080,2,0.2,2739.34
OI00094-3,O00094,P013,3,0.0,9353.07
OI00094-4,O00094,P019,3,0.1,2345.79
OI00095-1,O00095,P067,1,0.15,3184.81
OI00095-2,O00095,P011,2,0.0,8905.0
OI00095-3,O00095,P058,1,0.0,3744.43
OI00095-4,O00095,P016,3,0.15,7585.1
OI00096-1,O00096,P010,2,0.05,5404.15
OI00096-2,O00096,P069,2,0.15,7975.31
OI00096-3,O00096,P048,3,0.15,10622.59
OI00096-4,O00096,P017,1,0.0,1820.62
OI00097-1,O00097,P075,3,0.1,6130.67
OI00097-2,O00097,P028,1,0.15,3285.66
OI00097-3,O00097,P057,1,0.05,4587.9
OI00097-4,O00097,P049,2,0.0,5136.74
OI00098-1,O00098,P021,1,0.0,765.29
OI00098-2,O00098,P049,2,0.0,5136.74
OI00098-3,O00098,P029,1,0.2,2244.47
OI00099-1,O00099,P046,2,0.0,2725.94
OI00099-2,O00099,P008,1,0.2,3785.01
OI00099-3,O00099,P029,1,0.1,2525.03
OI00099-4,O00099,P062,1,0.2,1579.06
OI00100-1,O00100,P026,3,0.0,12794.55
OI00100-2,O00100,P047,3,0.0,10907.1
OI00100-3,O00100,P070,1,0.05,2079.77
OI00100-4,O00100,P006,1,0.2,2218.61
OI00101-1,O00101,P063,3,0.0,4246.71
OI00101-2,O00101,P054,2,0.0,5375.3
