order_id,customer_id,order_date,order_total,status
O00001,C0141,2025-11-29,19980.03,Delivered
O00002,C0301,2025-04-24,25268.85,Delivered
O00003,C0224,2025-06-18,9346.6,Delivered
O00004,C0444,2024-06-22,16381.22,Delivered
O00005,C0543,2024-02-07,29380.9,Delivered
O00006,C0043,2025-03-23,12157.68,Delivered
O00007,C0431,2024-11-24,2406.47,Delivered
O00008,C0043,2025-01-14,16442.47,Delivered
O00009,C0280,2024-05-01,27001.21,Cancelled
O00010,C0121,2024-02-26,1706.9,Delivered
O00011,C0103,2024-06-11,17201.8,Cancelled
O00012,C0303,2025-07-24,21065.36,Delivered
O00013,C0196,2024-08-26,3452.69,Delivered
O00014,C0603,2024-04-13,13334.32,Delivered
O00015,C0361,2024-04-11,8516.84,Delivered
O00016,C0265,2025-10-23,8194.84,Delivered
O00017,C0291,2025-06-09,13209.44,Delivered
O00018,C0554,2025-10-07,17414.08,Delivered
O00019,C0637,2025-11-29,30906.63,Delivered
O00020,C0202,2024-06-14,9804.62,Delivered
O00021,C0589,2024-02-18,3115.04,Delivered
O00022,C0183,2024-09-15,27846.02,Delivered
O00023,C0600,2024-01-13,739.14,Delivered
O00024,C0344,2025-06-20,10392.83,Delivered
O00025,C0378,2025-04-16,10085.67,Delivered
O00026,C0583,2024-08-16,18899.32,Delivered
O00027,C0039,2025-07-15,21225.05,Delivered
O00028,C0021,2024-08-02,13960.65,Delivered
O00029,C0593,2025-12-26,27690.03,Delivered
O00030,C0212,2025-07-06,949.87,Delivered
O00031,C0499,2024-02-27,18392.08,Delivered
O00032,C0546,2024-07-01,4339.8,Delivered
O00033,C0293,2024-06-24,21665.64,Delivered
O00034,C0532,2024-07-15,11846.05,Delivered
O00035,C0247,2024-02-15,17437.89,Delivered
O00036,C0130,2024-08-20,4692.69,Delivered
O00037,C0615,2024-02-15,12763.56,Delivered
O00038,C0598,2024-03-07,13622.35,Cancelled
O00039,C0255,2025-12-02,4165.72,Delivered
O00040,C0230,2025-09-01,13940.04,Delivered
O00041,C0393,2025-06-16,8021.4,Cancelled
O00042,C0197,2025-12-21,1187.34,Delivered
O00043,C0134,2025-02-25,10361.66,Delivered
O00044,C0299,2025-03-03,13098.4,Delivered
O00045,C0326,2025-05-20,14505.77,Delivered
O00046,C0642,2025-09-19,11872.3,Delivered
O00047,C0307,2024-02-02,23628.92,Delivered
O00048,C0230,2024-03-18,13638.23,Delivered
O00049,C0143,2025-03-23,11780.63,Delivered
O00050,C0046,2025-01-12,9568.09,Delivered
O00051,C0234,2024-11-01,2148.56,Delivered
O00052,C0452,2024-04-24,6580.68,Delivered
O00053,C0612,2025-08-25,727.03,Cancelled
O00054,C0297,2025-04-03,3884.46,Delivered
O00055,C0196,2025-04-06,7593.9,Delivered
O00056,C0443,2024-02-15,4822.28,Delivered
O00057,C0361,2025-03-11,6975.82,Delivered
O00058,C0636,2025-01-24,12965.39,Delivered
O00059,C0016,2024-05-02,14001.3,Delivered
O00060,C0071,2024-11-08,26060.21,Delivered
O00061,C0363,2025-07-28,8017.95,Delivered
O00062,C0639,2024-10-30,8386.86,Delivered
O00063,C0065,2024-04-23,7262.68,Delivered
O00064,C0352,2025-11-22,20382.35,Delivered
O00065,C0231,2025-06-10,15443.24,Delivered
O00066,C0179,2024-04-25,13846.11,Delivered
O00067,C0349,2025-09-10,9786.19,Delivered
O00068,C0246,2025-07-05,2411.49,Delivered
O00069,C0624,2024-07-14,12366.9,Delivered
O00070,C0253,2024-07-05,11323.99,Delivered
O00071,C0581,2024-09-25,3004.59,Delivered
O00072,C0229,2024-02-08,1476.98,Delivered
O00073,C0080,2024-11-05,23601.48,Delivered
O00074,C0114,2024-09-18,10215.47,Delivered
O00075,C0395,2024-01-29,6373.43,Delivered
O00076,C0367,2025-09-17,13534.22,Delivered
O00077,C0609,2025-05-25,4369.49,Delivered
O00078,C0257,2025-09-27,12435.82,Delivered
O00079,C0028,2025-05-22,9525.57,Delivered
O00080,C0551,2024-10-14,27274.52,Delivered
O00081,C0260,2024-12-21,8607.01,Delivered
O00082,C0442,2025-03-02,10993.24,Delivered
O00083,C0258,2024-06-16,11497.22,Delivered
O00084,C0083,2025-10-17,6144.05,Delivered
O00085,C0127,2025-07-16,12108.95,Delivered
O00086,C0393,2024-06-25,26093.83,Delivered
O00087,C0294,2024-02-06,15433.77,Delivered
O00088,C0358,2024-09-10,6977.34,Delivered
O00089,C0410,2025-02-24,10238.02,Delivered
O00090,C0377,2025-06-09,17193.05,Delivered
O00091,C0543,2024-11-11,3603.01,Delivered
O00092,C0322,2025-03-09,19434.21,Delivered
O00093,C0003,2024-02-19,1499.11,Delivered
O00094,C0631,2025-02-09,16682.67,Delivered
O00095,C0232,2025-07-20,23419.34,Delivered
O00096,C0603,2025-05-04,25822.67,Delivered
O00097,C0103,2025-09-11,19140.97,Delivered
O00098,C0473,2024-10-13,8146.5,Delivered
O00099,C0098,2025-07-21,10615.04,Delivered
O00100,C0017,2025-07-28,28000.03,Delivered
O00101,C0366,2025-12-15,13085.25,Delivered
O00102,C0384,2024-04-13,7319.85,Delivered
O00103,C0502,2025-06-02,6519.06,Delivered
O00104,C0586,2024-10-22,2768.03,Delivered
O00105,C0348,2025-03-01,20859.81,Delivered
O00106,C0336,2025-01-19,23959.97,Returned
O00107,C0208,2024-04-16,8768.98,Delivered
O00108,C0268,2024-08-07,31341.59,Delivered
O00109,C0255,2025-05-03,7929.21,Delivered
O00110,C0317,2025-07-20,2450.2,Delivered
O00111,C0102,2025-01-05,37533.87,Delivered
O00112,C0276,2025-09-06,7805.27,Delivered
O00113,C0060,2024-05-27,17714.41,Delivered
O00114,C0323,2025-06-18,14994.34,Delivered
O00115,C0334,2025-07-24,3776.0,Delivered
O00116,C0037,2024-11-07,12028.51,Delivered
O00117,C0617,2025-03-24,18817.63,Delivered
O00118,C0138,2024-08-14,12500.84,Delivered
O00119,C0570,2025-03-08,19786.44,Delivered
O00120,C0221,2024-05-12,14204.67,Delivered
O00121,C0018,2025-09-02,10015.85,Delivered
O00122,C0327,2024-09-20,12335.36,Delivered
O00123,C0336,2024-07-31,23919.04,Delivered
O00124,C0609,2025-09-19,34814.86,Delivered
O00125,C0550,2024-09-09,13718.1,Cancelled
O00126,C0307,2024-04-18,14334.49,Delivered
O00127,C0130,2024-01-09,1582.4,Delivered
O00128,C0166,2024-09-06,7822.22,Cancelled
O00129,C0346,2024-09-21,3391.07,Delivered
O00130,C0507,2025-02-25,6513.46,Delivered
O00131,C0623,2024-08-23,7788.36,Delivered
O00132,C0353,2025-04-21,30685.14,Delivered
O00133,C0153,2024-07-30,37930.6,Delivered
O00134,C0353,2025-03-21,32926.54,Delivered
O00135,C0489,2025-12-29,12653.64,Delivered
O00136,C0016,2024-02-04,2687.65,Delivered
O00137,C0382,2025-07-26,13324.11,Delivered
O00138,C0128,2024-06-29,20204.9,Delivered
O00139,C0420,2025-09-20,7569.25,Delivered
O00140,C0529,2024-01-12,18265.85,Delivered
O00141,C0611,2025-07-15,6140.97,Delivered
O00142,C0339,2024-07-02,1729.59,Delivered
O00143,C0318,2024-08-21,10749.58,Returned
O00144,C0092,2025-11-25,23397.72,Delivered
O00145,C0242,2025-07-26,25171.68,Delivered
O00146,C0061,2025-01-07,3746.83,Delivered
O00147,C0346,2024-02-05,29625.5,Returned
O00148,C0402,2024-10-17,4706.4,Delivered
O00149,C0297,2024-01-09,10542.75,Delivered
O00150,C0533,2024-01-25,15181.05,Delivered
O00151,C0331,2024-03-14,5226.51,Delivered
O00152,C0208,2025-06-05,7730.96,Delivered
O00153,C0461,2025-03-18,8387.45,Delivered
O00154,C0466,2025-12-20,20462.9,Delivered
O00155,C0491,2025-06-25,24974.95,Delivered
O00156,C0611,2025-06-30,21505.36,Delivered
O00157,C0303,2024-04-12,12129.67,Delivered
O00158,C0476,2025-12-30,1978.47,Delivered
O00159,C0409,2024-11-28,10643.17,Delivered
O00160,C0591,2024-04-13,16377.97,Returned
O00161,C0324,2024-03-01,29560.24,Delivered
O00162,C0302,2024-05-31,11358.03,Delivered
O00163,C0001,2024-06-28,14537.84,Delivered
O00164,C0621,2025-07-19,4052.56,Delivered
O00165,C0323,2024-03-16,21865.27,Delivered
O00166,C0286,2024-06-19,3576.97,Delivered
O00167,C0062,2024-03-20,26010.2,Delivered
O00168,C0569,2024-09-21,15098.55,Delivered
O00169,C0557,2025-03-26,14207.68,Delivered
O00170,C0369,2024-06-21,7572.02,Delivered
O00171,C0528,2025-11-28,11967.61,Delivered
O00172,C0334,2025-12-30,14170.76,Delivered
O00173,C0342,2024-01-16,17927.36,Delivered
O00174,C0042,2025-01-08,10014.81,Delivered
O00175,C0370,2024-08-20,19641.78,Delivered
O00176,C0321,2025-02-25,18382.09,Delivered
O00177,C0288,2025-05-27,25288.9,Delivered
O00178,C0199,2024-04-12,31329.84,Delivered
O00179,C0492,2024-10-10,12157.68,Delivered
O00180,C0311,2025-05-26,5567.18,Returned
O00181,C0528,2024-05-02,23626.78,Delivered
O00182,C0480,2024-02-01,11269.06,Delivered
O00183,C0529,2024-10-13,1973.83,Delivered
O00184,C0062,2025-05-10,1476.98,Delivered
O00185,C0477,2024-04-21,7552.0,Delivered
O00186,C0113,2024-06-22,12145.77,Delivered
O00187,C0391,2024-10-09,10044.19,Delivered
O00188,C0626,2024-11-05,6823.76,Delivered
O00189,C0247,2025-04-16,6369.81,Delivered
O00190,C0423,2024-11-27,6572.65,Delivered
O00191,C0448,2024-08-11,12607.13,Delivered
O00192,C0004,2025-06-06,13881.25,Delivered
O00193,C0480,2024-08-06,18109.58,Delivered
O00194,C0481,2024-08-27,7250.25,Delivered
O00195,C0529,2024-12-16,20972.22,Delivered
O00196,C0588,2025-09-17,13088.0,Delivered
O00197,C0492,2024-05-23,27987.02,Delivered
O00198,C0128,2025-01-17,20915.26,Returned
O00199,C0222,2024-03-28,2314.56,Delivered
O00200,C0149,2024-05-05,6099.15,Delivered
O00201,C0516,2025-12-26,7650.05,Delivered
O00202,C0327,2025-09-06,5086.61,Delivered
O00203,C0504,2024-08-30,17196.61,Delivered
O00204,C0535,2025-11-10,16133.32,Delivered
O00205,C0484,2024-03-25,11979.37,Delivered
O00206,C0232,2024-04-16,22948.13,Delivered
O00207,C0385,2025-07-02,17531.52,Delivered
O00208,C0018,2024-10-27,14260.71,Delivered
O00209,C0183,2024-02-10,12731.2,Delivered
