payment_id,order_id,payment_method,amount
PAY00001,O00001,UPI,19980.03
PAY00002,O00002,COD,25268.85
PAY00003,O00003,UPI,9346.6
PAY00004,O00004,UPI,16381.22
PAY00005,O00005,UPI,29380.9
PAY00006,O00006,UPI,12157.68
PAY00007,O00007,Card,2406.47
PAY00008,O00008,Card,16442.47
PAY00009,O00009,UPI,27001.21
PAY00010,O00010,COD,1706.9
PAY00011,O00011,COD,17201.8
PAY00012,O00012,COD,21065.36
PAY00013,O00013,UPI,3452.69
PAY00014,O00014,UPI,13334.32
PAY00015,O00015,UPI,8516.84
PAY00016,O00016,Net Banking,8194.84
PAY00017,O00017,COD,13209.44
PAY00018,O00018,Card,17414.08
PAY00019,O00019,Card,30906.63
PAY00020,O00020,Net Banking,9804.62
PAY00021,O00021,UPI,3115.04
PAY00022,O00022,UPI,27846.02
PAY00023,O00023,Card,739.14
PAY00024,O00024,UPI,10392.83
PAY00025,O00025,UPI,10085.67
PAY00026,O00026,Card,18899.32
PAY00027,O00027,Card,21225.05
PAY00028,O00028,COD,13960.65
PAY00029,O00029,UPI,27690.03
PAY00030,O00030,Card,949.87
PAY00031,O00031,Card,18392.08
PAY00032,O00032,Card,4339.8
PAY00033,O00033,COD,21665.64
PAY00034,O00034,Card,11846.05
PAY00035,O00035,Net Banking,17437.89
PAY00036,O00036,UPI,4692.69
PAY00037,O00037,Card,12763.56
PAY00038,O00038,Card,13622.35
PAY00039,O00039,UPI,4165.72
PAY00040,O00040,COD,13940.04
PAY00041,O00041,COD,8021.4
PAY00042,O00042,COD,1187.34
PAY00043,O00043,UPI,10361.66
PAY00044,O00044,UPI,13098.4
PAY00045,O00045,UPI,14505.77
PAY00046,O00046,Net Banking,11872.3
PAY00047,O00047,UPI,23628.92
PAY00048,O00048,UPI,13638.23
PAY00049,O00049,UPI,11780.63
PAY00050,O00050,UPI,9568.09
PAY00051,O00051,Net Banking,2148.56
PAY00052,O00052,COD,6580.68
PAY00053,O00053,UPI,727.03
PAY00054,O00054,UPI,3884.46
PAY00055,O00055,COD,7593.9
PAY00056,O00056,Card,4822.28
PAY00057,O00057,UPI,6975.82
PAY00058,O00058,UPI,12965.39
PAY00059,O00059,Card,14001.3
PAY00060,O00060,UPI,26060.21
PAY00061,O00061,UPI,8017.95
PAY00062,O00062,COD,8386.86
PAY00063,O00063,COD,7262.68
PAY00064,O00064,Card,20382.35
PAY00065,O00065,COD,15443.24
PAY00066,O00066,Card,13846.11
PAY00067,O00067,UPI,9786.19
PAY00068,O00068,UPI,2411.49
PAY00069,O00069,Card,12366.9
PAY00070,O00070,COD,11323.99
PAY00071,O00071,UPI,3004.59
PAY00072,O00072,UPI,1476.98
PAY00073,O00073,COD,23601.48
PAY00074,O00074,UPI,10215.47
PAY00075,O00075,COD,6373.43
PAY00076,O00076,Card,13534.22
PAY00077,O00077,COD,4369.49
PAY00078,O00078,UPI,12435.82
PAY00079,O00079,Card,9525.57
PAY00080,O00080,COD,27274.52
PAY00081,O00081,UPI,8607.01
PAY00082,O00082,Card,10993.24
PAY00083,O00083,UPI,11497.22
PAY00084,O00084,Card,6144.05
PAY00085,O00085,UPI,12108.95
PAY00086,O00086,COD,26093.83
PAY00087,O00087,Card,15433.77
PAY00088,O00088,COD,6977.34
PAY00089,O00089,COD,10238.02
PAY00090,O00090,COD,17193.05
PAY00091,O00091,Net Banking,3603.01
PAY00092,O00092,UPI,19434.21
PAY00093,O00093,COD,1499.11
PAY00094,O00094,UPI,16682.67
PAY00095,O00095,UPI,23419.34
PAY00096,O00096,UPI,25822.67
PAY00097,O00097,UPI,19140.97
PAY00098,O00098,UPI,8146.5
PAY00099,O00099,Card,10615.04
PAY00100,O00100,Card,28000.03
PAY00101,O00101,Card,13085.25
PAY00102,O00102,Net Banking,7319.85
PAY00103,O00103,Card,6519.06
PAY00104,O00104,UPI,2768.03
PAY00105,O00105,Card,20859.81
PAY00106,O00106,COD,23959.97
PAY00107,O00107,COD,8768.98
PAY00108,O00108,Card,31341.59
PAY00109,O00109,UPI,7929.21
PAY00110,O00110,Card,2450.2
PAY00111,O00111,UPI,37533.87
PAY00112,O00112,UPI,7805.27
PAY00113,O00113,COD,17714.41
PAY00114,O00114,Card,14994.34
PAY00115,O00115,UPI,3776.0
PAY00116,O00116,UPI,12028.51
PAY00117,O00117,Card,18817.63
PAY00118,O00118,UPI,12500.84
PAY00119,O00119,UPI,19786.44
PAY00120,O00120,COD,14204.67
PAY00121,O00121,Card,10015.85
PAY00122,O00122,Net Banking,12335.36
PAY00123,O00123,Card,23919.04
PAY00124,O00124,Card,34814.86
PAY00125,O00125,UPI,13718.1
PAY00126,O00126,UPI,14334.49
PAY00127,O00127,UPI,1582.4
PAY00128,O00128,UPI,7822.22
PAY00129,O00129,Card,3391.07
PAY00130,O00130,UPI,6513.46
PAY00131,O00131,Card,7788.36
PAY00132,O00132,Card,30685.14
PAY00133,O00133,UPI,37930.6
PAY00134,O00134,COD,32926.54
PAY00135,O00135,COD,12653.64
PAY00136,O00136,Card,2687.65
PAY00137,O00137,UPI,13324.11
PAY00138,O00138,Net Banking,20204.9
PAY00139,O00139,COD,7569.25
PAY00140,O00140,UPI,18265.85
PAY00141,O00141,COD,6140.97
PAY00142,O00142,Card,1729.59
PAY00143,O00143,COD,10749.58
