product_id,product_name,category,unit_price
P001,Fitness Item 001,Fitness,4747.84
P002,Home Item 002,Home,2560.02
P003,Beauty Item 003,Beauty,4939.67
P004,Electronics Item 004,Electronics,1099.15
P005,Electronics Item 005,Electronics,4822.28
P006,Electronics Item 006,Electronics,2773.26
P007,Home Item 007,Home,832.84
P008,Beauty Item 008,Beauty,4731.26
P009,Beauty Item 009,Beauty,3092.88
P010,Beauty Item 010,Beauty,2844.29
P011,Beauty Item 011,Beauty,4452.5
P012,Home Item 012,Home,2119.42
P013,Fitness Item 013,Fitness,3117.69
P014,Beauty Item 014,Beauty,2364.21
P015,Electronics Item 015,Electronics,1254.44
P016,Beauty Item 016,Beauty,2974.55
P017,Beauty Item 017,Beauty,1820.62
P018,Fitness Item 018,Fitness,923.92
P019,Electronics Item 019,Electronics,868.81
P020,Electronics Item 020,Electronics,1262.86
P021,Home Item 021,Home,765.29
P022,Beauty Item 022,Beauty,1446.6
P023,Fitness Item 023,Fitness,4500.03
P024,Beauty Item 024,Beauty,3631.34
P025,Home Item 025,Home,2891.41
P026,Beauty Item 026,Beauty,4264.85
P027,Fashion Item 027,Fashion,4173.27
P028,Beauty Item 028,Beauty,3865.48
P029,Electronics Item 029,Electronics,2805.59
P030,Fashion Item 030,Fashion,4052.56
P031,Fitness Item 031,Fitness,395.78
P032,Home Item 032,Home,4848.12
P033,Fitness Item 033,Fitness,3761.35
P034,Electronics Item 034,Electronics,4074.4
P035,Fashion Item 035,Fashion,3306.95
P036,Home Item 036,Home,4442.35
P037,Electronics Item 037,Electronics,2913.72
P038,Beauty Item 038,Beauty,3415.55
P039,Fitness Item 039,Fitness,1583.88
P040,Home Item 040,Home,2939.83
P041,Fitness Item 041,Fitness,2679.43
P042,Fitness Item 042,Fitness,853.45
P043,Beauty Item 043,Beauty,3492.82
P044,Beauty Item 044,Beauty,4685.14
P045,Beauty Item 045,Beauty,4831.47
P046,Fitness Item 046,Fitness,1362.97
P047,Home Item 047,Home,3635.7
P048,Beauty Item 048,Beauty,4165.72
P049,Fashion Item 049,Fashion,2568.37
P050,Fashion Item 050,Fashion,2012.25
P051,Fitness Item 051,Fitness,1462.23
P052,Home Item 052,Home,2746.25
P053,Fitness Item 053,Fitness,4342.28
P054,Electronics Item 054,Electronics,2687.65
P055,Fitness Item 055,Fitness,2386.43
P056,Fashion Item 056,Fashion,4268.15
P057,Beauty Item 057,Beauty,4829.37
P058,Electronics Item 058,Electronics,3744.43
P059,Electronics Item 059,Electronics,1568.8
P060,Fitness Item 060,Fitness,4061.99
P061,Home Item 061,Home,4454.13
P062,Home Item 062,Home,1973.83
P063,Beauty Item 063,Beauty,1415.57
P064,Home Item 064,Home,1950.6
P065,Fashion Item 065,Fashion,4384.49
P066,Electronics Item 066,Electronics,1722.01
P067,Beauty Item 067,Beauty,3746.83
P068,Fashion Item 068,Fashion,1429.18
P069,Electronics Item 069,Electronics,4691.36
P070,Beauty Item 070,Beauty,2189.23
P071,Fashion Item 071,Fashion,2967.41
P072,Fashion Item 072,Fashion,1547.86
P073,Electronics Item 073,Electronics,1263.86
P074,Fashion Item 074,Fashion,4511.83
P075,Electronics Item 075,Electronics,2270.62
P076,Electronics Item 076,Electronics,2054.59
P077,Beauty Item 077,Beauty,4826.76
P078,Beauty Item 078,Beauty,4384.0
P079,Fashion Item 079,Fashion,1769.37
P080,Home Item 080,Home,1712.09
